id,areas_fk,plant_id,timestep,b,area,fuel_type,production
1,1,1,1,0,1,Thermal,0.0
2,1,1,1,1,1,Thermal,0.0
3,1,1,1,2,1,Thermal,0.0
4,1,1,1,3,1,Thermal,0.0
5,1,2,1,0,1,Thermal,0.0
6,1,2,1,1,1,Thermal,0.0
7,1,2,1,2,1,Thermal,0.0
8,1,2,1,3,1,Thermal,0.0
9,1,3,1,0,1,Thermal,0.0
10,1,3,1,1,1,Thermal,0.0
11,1,3,1,2,1,Thermal,0.0
12,1,3,1,3,1,Thermal,0.0
13,1,4,1,0,1,Thermal,0.0
14,1,4,1,1,1,Thermal,0.0
15,1,4,1,2,1,Thermal,0.0
16,1,4,1,3,1,Thermal,0.0
17,1,5,1,0,1,Thermal,0.0
18,1,5,1,1,1,Thermal,0.0
19,1,5,1,2,1,Thermal,0.0
20,1,5,1,3,1,Thermal,0.0
21,1,6,1,0,1,Thermal,0.0
22,1,6,1,1,1,Thermal,0.0
23,1,6,1,2,1,Thermal,0.0
24,1,6,1,3,1,Thermal,0.0
25,1,7,1,0,1,Thermal,0.0
26,1,7,1,1,1,Thermal,0.0
27,1,7,1,2,1,Thermal,0.0
28,1,7,1,3,1,Thermal,0.0
29,1,8,1,0,1,Thermal,0.0
30,1,8,1,1,1,Thermal,0.0
31,1,8,1,2,1,Thermal,0.0
32,1,8,1,3,1,Thermal,0.0
33,1,9,1,0,1,Thermal,0.0
34,1,9,1,1,1,Thermal,0.0
35,1,9,1,2,1,Thermal,0.0
36,1,9,1,3,1,Thermal,0.0
37,1,10,1,0,1,Thermal,0.0
38,1,10,1,1,1,Thermal,0.0
39,1,10,1,2,1,Thermal,0.0
40,1,10,1,3,1,Thermal,0.0
41,1,154,1,0,2,Wind,42.91
42,1,154,1,1,2,Wind,42.53
43,1,154,1,2,2,Wind,43.4
44,1,154,1,3,2,Wind,42.35
45,1,155,1,0,2,Wind,238.8
46,1,155,1,1,2,Wind,237.52
47,1,155,1,2,2,Wind,239.73
48,1,155,1,3,2,Wind,238.17
49,1,156,1,0,2,Wind,141.4
50,1,156,1,1,2,Wind,157.57
51,1,156,1,2,2,Wind,120.47
52,1,156,1,3,2,Wind,164.83
53,1,157,1,0,2,Wind,214.03
54,1,157,1,1,2,Wind,213.7
55,1,157,1,2,2,Wind,214.28
56,1,157,1,3,2,Wind,213.85
57,1,49900,1,0,3,Hydro,0.0
58,1,49900,1,1,3,Hydro,0.0
59,1,49900,1,2,3,Hydro,0.0
60,1,49900,1,3,3,Hydro,0.0
61,1,49901,1,0,3,Hydro,0.0
62,1,49901,1,1,3,Hydro,0.0
63,1,49901,1,2,3,Hydro,0.0
64,1,49901,1,3,3,Hydro,0.0
65,1,49902,1,0,3,Hydro,0.0
66,1,49902,1,1,3,Hydro,0.0
67,1,49902,1,2,3,Hydro,0.0
68,1,49902,1,3,3,Hydro,0.0
69,1,49903,1,0,3,Hydro,0.0
70,1,49903,1,1,3,Hydro,0.0
71,1,49903,1,2,3,Hydro,0.0
72,1,49903,1,3,3,Hydro,0.0
73,1,49904,1,0,3,Hydro,0.0
74,1,49904,1,1,3,Hydro,0.0
75,1,49904,1,2,3,Hydro,0.0
76,1,49904,1,3,3,Hydro,0.0
77,1,49905,1,0,3,Hydro,0.0
78,1,49905,1,1,3,Hydro,0.0
79,1,49905,1,2,3,Hydro,0.0
80,1,49905,1,3,3,Hydro,0.0
81,1,49906,1,0,3,Hydro,0.0
82,1,49906,1,1,3,Hydro,0.0
83,1,49906,1,2,3,Hydro,0.0
84,1,49906,1,3,3,Hydro,0.0
85,1,49907,1,0,3,Hydro,0.0
86,1,49907,1,1,3,Hydro,0.0
87,1,49907,1,2,3,Hydro,0.0
88,1,49907,1,3,3,Hydro,0.0
89,1,49908,1,0,3,Hydro,0.0
90,1,49908,1,1,3,Hydro,0.0
91,1,49908,1,2,3,Hydro,0.0
92,1,49908,1,3,3,Hydro,0.0
93,1,49911,1,0,3,Hydro,0.0
94,1,49911,1,1,3,Hydro,0.0
95,1,49911,1,2,3,Hydro,0.0
96,1,49911,1,3,3,Hydro,0.0
97,1,49912,1,0,3,Hydro,0.0
98,1,49912,1,1,3,Hydro,0.0
99,1,49912,1,2,3,Hydro,0.0
100,1,49912,1,3,3,Hydro,0.0
101,1,49913,1,0,3,Hydro,0.0
102,1,49913,1,1,3,Hydro,0.0
103,1,49913,1,2,3,Hydro,0.0
104,1,49913,1,3,3,Hydro,0.0
105,1,49914,1,0,3,Hydro,0.0
106,1,49914,1,1,3,Hydro,0.0
107,1,49914,1,2,3,Hydro,0.0
108,1,49914,1,3,3,Hydro,0.0
109,1,49915,1,0,3,Hydro,0.0
110,1,49915,1,1,3,Hydro,0.0
111,1,49915,1,2,3,Hydro,0.0
112,1,49915,1,3,3,Hydro,0.0
113,1,49920,1,0,3,Hydro,0.0
114,1,49920,1,1,3,Hydro,0.0
115,1,49920,1,2,3,Hydro,0.0
